inventory_id,relative_path,sha256,size_bytes,extension,detected_type,text_or_binary,tracked_status,ignored_status,symlink_target,classification,likely_role,review_level,audit_status,per_file_report,notes
F0011,FEATURE_PARITY.md,447bfddd505ccf26863b3668a84678a2e893c4e8358ef0949a9b67cdd115bb26,2127,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Feature parity and current surface — 0.7.11'.,Complete-content text/source review,Audited — complete,files/F0011__FEATURE_PARITY.md.md,
F0012,FINAL_TEST_GROUP_REPORT_0.7.11.json,7b95d2afca5c49bf7fadd2195eb4f76826869330ed26907f213d71b398a5d33c,1890,.json,JSON,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Generated verification artifact,"Structured repository data with top-level keys: collected, errors, failures, group_count, groups, passed, release, runner.",Complete-content text/source review,Audited — complete,files/F0012__FINAL_TEST_GROUP_REPORT_0.7.11.json.md,
F0013,FINAL_TEST_PARTITION_REPORT_0.7.11.json,3af53a95e608a01b2856d14261992fb26bcc51e0ae084fec59f7805fada8239b,24190,.json,JSON,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Generated verification artifact,"Structured repository data with top-level keys: collected, errors, failures, missing_partitions, partition_count, passed, records, runner.",Complete-content text/source review,Audited — complete,files/F0013__FINAL_TEST_PARTITION_REPORT_0.7.11.json.md,
F0014,LICENSE,ac2e979d38c247879e05243433cf891e77f87f71cb39bc24f6efe81ac3e38df3,428,,UTF-8 text,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,License metadata,License notice distributed with the relevant package.,Complete-content text/source review,Audited — complete,files/F0014__LICENSE.md,Findings: LIC-001
F0015,MANIFEST.in,4bc205fb3ab09b8aff387f0e1235e0a39ff18ffb378ae8fa183de2da7c64683c,1197,.in,Packaging manifest,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Configuration or packaging,Deterministic package/source inventory or hash manifest.,Complete-content text/source review,Audited — complete,files/F0015__MANIFEST.in.md,3 line(s) exceed 140 characters | Findings: LIC-001
F0016,MANIFEST.sha256,2da9767f2bb5c30e353aedf8f62d77a3d4435a76534ece8c22940a8a310999ff,56102,.sha256,SHA-256 manifest,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Generated verification artifact,Deterministic package/source inventory or hash manifest.,Complete-content text/source review,Audited — complete,files/F0016__MANIFEST.sha256.md,2 line(s) exceed 140 characters | Findings: REL-001
F0017,Makefile,b585d982da2553421ea04052fe55fc050daf87fd1d0033ae138b0361046e72d7,1544,,Makefile,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Configuration or packaging,"Developer entry points for verification, testing, packaging, and cleanup.",Complete-content text/source review,Audited — complete,files/F0017__Makefile.md,"1 line(s) exceed 140 characters | Findings: REL-001,MAINT-001"
F0018,PROJECT_MEMORY.md,3f0b2a725fb04f7250524ee62a4244ed1e869b2c86e259fcad033ee97a11aa39,1727,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Project memory — x86decomp-toolkit 0.7.11'.,Complete-content text/source review,Audited — complete,files/F0018__PROJECT_MEMORY.md.md,4 line(s) exceed 140 characters
F0019,README.md,cae63ef23a67fb184fd2c66f8f6dd54cf75d1dd0eaa7c2a4b5cd304c4a8b42af,4032,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'x86decomp-toolkit 0.7.11'.,Complete-content text/source review,Audited — complete,files/F0019__README.md.md,"7 line(s) exceed 140 characters | Findings: REL-001,DOC-002,UX-001"
F0020,RELEASE_VERIFICATION.json,018fc226ab3329be6be880ee07aac13e378bdae69c5efbaf5905d8da00530c29,2971,.json,JSON,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Generated artifact or data,"Structured repository data with top-level keys: audit_findings, coverage, docstrings, gates, notes, pytest, release, status.",Complete-content text/source review,Audited — complete,files/F0020__RELEASE_VERIFICATION.json.md,1 line(s) exceed 140 characters
F0021,RELEASE_VERIFICATION.md,8099240e354cc5643c7f9b18e743e96cc2e98073579fc1e8c5611065d0aaa558,1361,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'x86decomp-toolkit 0.7.11 release verification'.,Complete-content text/source review,Audited — complete,files/F0021__RELEASE_VERIFICATION.md.md,3 line(s) exceed 140 characters
F0022,SECURITY.md,a5b31ee02f32135441620fba57376eb81a1d0e8fbb0673fc4939096ba28ba369,1417,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Security policy — 0.7.11'.,Complete-content text/source review,Audited — complete,files/F0022__SECURITY.md.md,3 line(s) exceed 140 characters
F0023,VERIFICATION.md,a7198c375c2ece0a1e8be9ec6a5a1a206a0e0cb21f2d32256533d6324753efb3,1494,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Verification contract — 0.7.11'.,Complete-content text/source review,Audited — complete,files/F0023__VERIFICATION.md.md,3 line(s) exceed 140 characters
F0024,corpus/ground_truth_sources/aliasing.c,09a93c1038059384920be8ed617f196950b3b935fa4e7ecdcccd4b38215f222c,105,.c,C source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0024__corpus__ground_truth_sources__aliasing.c.md,
F0025,corpus/ground_truth_sources/arithmetic.c,1a39b20e36efc0d23c5570152a1db30922527835bfc82ddf4b629980c916326e,105,.c,C source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0025__corpus__ground_truth_sources__arithmetic.c.md,
F0026,corpus/ground_truth_sources/bitfields.c,44c9a66d27e87a270af05fdb87d82d87512b70fe72600df0bc89f4e091b5a7dd,313,.c,C source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0026__corpus__ground_truth_sources__bitfields.c.md,
F0027,corpus/ground_truth_sources/branches.c,0dcc84cf6d38aa0a3e90a66bd349f349d504cd2dc0160db16933466c56aa99bb,125,.c,C source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0027__corpus__ground_truth_sources__branches.c.md,
F0028,corpus/ground_truth_sources/calling_conventions.c,cfb331698f9ccdb113849a7c535a500ee6631a46a716be1d3791e49f9c1e69b3,343,.c,C source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0028__corpus__ground_truth_sources__calling_conventions.c.md,
F0029,corpus/ground_truth_sources/classes.cpp,d04c86180d9424ea91914dc7b73d93b4b3da432d7a26d8d801ff9d5718701521,274,.cpp,C++ source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0029__corpus__ground_truth_sources__classes.cpp.md,
F0030,corpus/ground_truth_sources/eh_multiple.cpp,7b3cc0e687132f70957e55dbbaa5c479d6a4864fde0e11cb49df0c600d6f2665,471,.cpp,C++ source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0030__corpus__ground_truth_sources__eh_multiple.cpp.md,
F0031,corpus/ground_truth_sources/exceptions.cpp,fd15c6bd23f39262a9aa02f94f02210dacab53a2a5d358aae415bba2c329394e,156,.cpp,C++ source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0031__corpus__ground_truth_sources__exceptions.cpp.md,
F0032,corpus/ground_truth_sources/floating_point.c,ff00c63ae76817932bdd0b4a5b0a0c8bc661e03314889d1eef404e580279bb89,195,.c,C source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0032__corpus__ground_truth_sources__floating_point.c.md,
F0033,corpus/ground_truth_sources/globals.c,e4fbe6bc2a51161e651a23264f5de4e90d052b2e9efcbcea1c1ff76a748528c4,100,.c,C source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0033__corpus__ground_truth_sources__globals.c.md,
F0034,corpus/ground_truth_sources/indirect_calls.c,b9b6dc58d6912bf8a54c46868a5a61b321447c9826660dfb29f76f741b21b92e,204,.c,C source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0034__corpus__ground_truth_sources__indirect_calls.c.md,
F0035,corpus/ground_truth_sources/loops.c,d929c2eb356d9e45d27aa9a9e9929d1ce3fad324d8843d7e53e4dbe7dabe9262,242,.c,C source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0035__corpus__ground_truth_sources__loops.c.md,
F0036,corpus/ground_truth_sources/member_pointers.cpp,8e84a7254ebeda7ec4db40335350606cf26227868e20be7db4f4382cdd3e9f69,299,.cpp,C++ source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0036__corpus__ground_truth_sources__member_pointers.cpp.md,
F0037,corpus/ground_truth_sources/multiple_inheritance.cpp,2fc99918de8375a035774b6cff12866defb77d2095bf1a6005b6419c4afc4410,272,.cpp,C++ source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0037__corpus__ground_truth_sources__multiple_inheritance.cpp.md,
F0038,corpus/ground_truth_sources/static_initializers.cpp,5566d58941846d63fafa6e6047f5f0a70dd19ff484aea58f1eac88cfa1c3156c,143,.cpp,C++ source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0038__corpus__ground_truth_sources__static_initializers.cpp.md,
F0039,corpus/ground_truth_sources/structs.c,0b29f69d01886989d3d34fb430acb259ca55c604b8b59c968e5d341972102280,124,.c,C source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0039__corpus__ground_truth_sources__structs.c.md,
F0040,corpus/ground_truth_sources/switch_dense.c,2a696a875c034a89e16a9b28359f6603942c536954321bc7403a9b780d24546f,248,.c,C source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0040__corpus__ground_truth_sources__switch_dense.c.md,
F0041,corpus/ground_truth_sources/tail_calls.c,874edb70e2470cafdd6bed6a7a05519da95c926d1b0777622d1fba726194ddb3,140,.c,C source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0041__corpus__ground_truth_sources__tail_calls.c.md,
F0042,corpus/ground_truth_sources/templates.cpp,cd18fc097a4bbbacacff6685edb8c5e6a0dfe7d8e27a68eb0b0febad6508194b,409,.cpp,C++ source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0042__corpus__ground_truth_sources__templates.cpp.md,
F0043,corpus/ground_truth_sources/tls.c,9f917229ae42021f4045f2f56af5ac3116987dc442e304c1b9b6b441200ba54b,240,.c,C source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0043__corpus__ground_truth_sources__tls.c.md,
F0044,corpus/ground_truth_sources/unions.c,2906ac1f944da7f6020756df9f20451048f8e2ed81ed5ac6ea06554afe1c7f60,192,.c,C source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0044__corpus__ground_truth_sources__unions.c.md,
F0045,corpus/ground_truth_sources/varargs.c,3326edfa00e59cd41f5409c8ef01d1d5b96c0e1a13471972a2a107725032cdbb,244,.c,C source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0045__corpus__ground_truth_sources__varargs.c.md,
F0046,corpus/ground_truth_sources/vectorizable.c,4e71d283a0479bd5264da8f235bdb4f434a1b841289d9eac335c8b997be10f43,259,.c,C source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0046__corpus__ground_truth_sources__vectorizable.c.md,
F0047,corpus/ground_truth_sources/virtual_inheritance.cpp,c8e83579cd4d6159e716c23270110d997349e3b1a609bf1d50c0b93a2e64d1d2,441,.cpp,C++ source,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Fixture or ground-truth corpus,Ground-truth or fixture source used for compiler/linker/reconstruction verification.,Complete-content text/source review,Audited — complete,files/F0047__corpus__ground_truth_sources__virtual_inheritance.cpp.md,
F0048,docs/ARCHITECTURE_MAP.md,0ee14319cb33f5fa3a914b53703c8bc5de19b4869c17c35c490d37f9f4fbae9e,3586,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Toolkit architecture map — 0.7.11'.,Complete-content text/source review,Audited — complete,files/F0048__docs__ARCHITECTURE_MAP.md.md,Trailing whitespace lines: 3 | 1 line(s) exceed 140 characters | Findings: REPO-001
F0049,docs/ARCHITECTURE_MAP_ASCII.txt,c7939f8da9a7e3a3293b7b4819493d707ddac7201c49e962df2433dc025c9128,6300,.txt,Plain text,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Repository plain text asset.,Complete-content text/source review,Audited — complete,files/F0049__docs__ARCHITECTURE_MAP_ASCII.txt.md,1 line(s) exceed 140 characters
F0050,docs/COMMAND_REFERENCE_0.7.11.json,1df25634770729c41c7df804f9af9b991c70fb2bbe4fa3650d33949c58c179f3,27934,.json,JSON,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,"Structured repository data with top-level keys: canonical_group_count, canonical_groups, canonical_route_count, canonical_routes, plan_only_routes, release, root_command_count, root_commands.",Complete-content text/source review,Audited — complete,files/F0050__docs__COMMAND_REFERENCE_0.7.11.json.md,Findings: DOC-002
F0051,docs/COMMAND_REFERENCE_0.7.11.md,2ce27d17ff8261b9e25a5f15905813352ec68f8c2d28d4ebff4c991de47a68df,571,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Command reference — 0.7.11'.,Complete-content text/source review,Audited — complete,files/F0051__docs__COMMAND_REFERENCE_0.7.11.md.md,1 line(s) exceed 140 characters | Findings: DOC-002
F0052,docs/adapter-capabilities.md,7ab50fd37db0daf4b5776422645a7984784998c6c8241302e93d9867405b8cc3,1020,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Adapter capabilities — 0.7.11'.,Complete-content text/source review,Audited — complete,files/F0052__docs__adapter-capabilities.md.md,
F0053,docs/architecture.md,6753571b1d85da4e562ec6ef2534a325e20c2640a3e989296d716f9a3102439f,2644,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Architecture — 0.7.11'.,Complete-content text/source review,Audited — complete,files/F0053__docs__architecture.md.md,8 line(s) exceed 140 characters
F0054,docs/build-and-verification.md,398c7081166cb31dfd6c347e2b485166ca9dee37c927977dc90e5849b5b09479,1064,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Build and verification — 0.7.11'.,Complete-content text/source review,Audited — complete,files/F0054__docs__build-and-verification.md.md,4 line(s) exceed 140 characters | Findings: REL-001
F0055,docs/contracts.md,ca03911160dff537c0320208dc20b8dff7d8b44617d2344f40cedd72f28707cd,4497,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Document and state contracts'.,Complete-content text/source review,Audited — complete,files/F0055__docs__contracts.md.md,
F0056,docs/evidence-and-claims.md,a573ac934a840cec2976052600e8631ce736442ac86650cce2116d0011a28f16,2188,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Evidence and claims'.,Complete-content text/source review,Audited — complete,files/F0056__docs__evidence-and-claims.md.md,
F0057,docs/ghidra-integration.md,c60e3ad7b722d1063d4a11e59e5225ddc5e1468781917992db958aba7387006a,1690,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Ghidra integration'.,Complete-content text/source review,Audited — complete,files/F0057__docs__ghidra-integration.md.md,
F0058,docs/guardrails.md,c900c3cf8ad5d8631d14f8325e4c130d75c4c16a73fb53b6ce6ae0dc5d09134f,2367,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Guardrails'.,Complete-content text/source review,Audited — complete,files/F0058__docs__guardrails.md.md,
F0059,docs/index.md,2b1392f95380c4325b5527a84b1f220c26864189fb71ef15b9abeb7a2da5db82,620,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'x86decomp toolkit 0.7.11'.,Complete-content text/source review,Audited — complete,files/F0059__docs__index.md.md,
F0060,docs/local-llm.md,d130229c46928ac6a42c5b82610d3c50208676ec31d5c1199bd8bf9dffb68533,9122,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Local LLM C generation and exact byte matching'.,Complete-content text/source review,Audited — complete,files/F0060__docs__local-llm.md.md,12 line(s) exceed 140 characters
F0061,docs/operations-and-recovery.md,7430e41f4663a97f752ccc7a8686c1a39693605ea71ad88725c9fa33fe755238,4095,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,"Documentation centered on 'Operations, resumability, and recovery'.",Complete-content text/source review,Audited — complete,files/F0061__docs__operations-and-recovery.md.md,6 line(s) exceed 140 characters
F0062,docs/project-memory.md,9053e590e5f0394ff3d07534b017e51b593f5d71d225d2b6e71d70dfd51284ea,1179,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Project-memory protocol'.,Complete-content text/source review,Audited — complete,files/F0062__docs__project-memory.md.md,
F0063,docs/roadmap.md,910ad2690ff63134b2e0a0f6de75d2eb480dfda333aadd61d7ff880c078c27a5,379,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Roadmap'.,Complete-content text/source review,Audited — complete,files/F0063__docs__roadmap.md.md,1 line(s) exceed 140 characters
F0064,docs/source-basis.md,b0950b1b47308b283028c141a84c8cbf41f377d68b269d418c239edd7e8e9ee4,1097,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Source basis and upstream boundaries'.,Complete-content text/source review,Audited — complete,files/F0064__docs__source-basis.md.md,
F0065,docs/supported-scope.md,da10c7f01980d8393fcd41223feb4ec6a7c2f8fdb259f56336b4c5c384848ca4,537,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Supported scope — 0.7.11'.,Complete-content text/source review,Audited — complete,files/F0065__docs__supported-scope.md.md,2 line(s) exceed 140 characters
F0066,docs/target-packs-and-templates.md,7e65033dff4a1d532861775161d621e8f73ec238363b43fce2b7101a3ba6a2d0,3822,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Target packs and grounded project templates'.,Complete-content text/source review,Audited — complete,files/F0066__docs__target-packs-and-templates.md.md,5 line(s) exceed 140 characters
F0067,docs/test-bundle.md,a46690243ada69526ce92db7b4f667a8aea677db98a286c5a56ff7b18af9f113,4551,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Authorized static test bundles'.,Complete-content text/source review,Audited — complete,files/F0067__docs__test-bundle.md.md,
F0068,examples/abi/stdcall-two-ints.json,f2c7a723de83de7169612e1cdc305a4bd8779e9ad82c7ff3a2ce90d400ac3ace,275,.json,JSON,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Example or sample,"Structured repository data with top-level keys: architecture, convention, stack_argument_bytes, callee_stack_cleanup, variadic, this_register, register_arguments, return_registers.",Complete-content text/source review,Audited — complete,files/F0068__examples__abi__stdcall-two-ints.json.md,
