group_id,symbol_count,symbols,assessment,consolidation_safety,risk
DUP-G013,2,src/x86decomp/pe.py:TLS64Info.to_dict:62; src/x86decomp/pe32.py:TLSInfo.to_dict:191,Substantive normalized duplicate requiring contextual comparison.,Manual comparison required before consolidation.,Medium regression risk if consolidated mechanically.
DUP-G014,2,src/x86decomp/pe.py:PE64Image.entry_va:122; src/x86decomp/pe32.py:PE32Image.entry_va:313,Small structural duplicate; likely conventional wrapper or initializer.,Consolidate only if dependency direction and error semantics remain clear.,Low; abstraction may cost more than duplication.
DUP-G015,2,src/x86decomp/pe.py:_parse_delay_imports64.to_rva:274; src/x86decomp/pe32.py:_parse_delay_imports.to_rva:941,Substantive normalized duplicate requiring contextual comparison.,Manual comparison required before consolidation.,Medium regression risk if consolidated mechanically.
DUP-G016,10,src/x86decomp/reconstruction/abi_contracts.py:ABIContracts.__init__:13; src/x86decomp/reconstruction/builds.py:BuildManager.__init__:13; src/x86decomp/reconstruction/capsules.py:Capsules.__init__:14; src/x86decomp/reconstruction/generated_tests.py:GeneratedTests.__init__:16; src/x86decomp/reconstruction/headers.py:HeaderManager.__init__:14; src/x86decomp/reconstruction/libraries.py:LibraryRecognition.__init__:10; src/x86decomp/reconstruction/project_layout.py:ProjectLayout.__init__:13; src/x86decomp/reconstruction/provenance.py:ProvenanceLedger.__init__:13; src/x86decomp/reconstruction/security.py:SecurityReview.__init__:11; src/x86decomp/reconstruction/semantic_changesets.py:SemanticChangeSets.__init__:11,Small structural duplicate; likely conventional wrapper or initializer.,Consolidate only if dependency direction and error semantics remain clear.,Low; abstraction may cost more than duplication.
DUP-G017,2,test-suite/src/x86decomp_testkit/adapters/capabilities.py:CapabilityResult.to_dict:29; test-suite/src/x86decomp_testkit/models.py:ProbeResult.to_dict:38,Small structural duplicate; likely conventional wrapper or initializer.,Consolidate only if dependency direction and error semantics remain clear.,Low; abstraction may cost more than duplication.
DUP-G018,2,test-suite/src/x86decomp_testkit/self_tests/test_adapter_capabilities.py:_config:36; test-suite/tests/test_adapter_capabilities.py:_config:48,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G019,2,test-suite/src/x86decomp_testkit/self_tests/test_adapter_capabilities.py:test_lm_studio_http_satisfies_openai_capability_without_product_aliasing:41; test-suite/tests/test_adapter_capabilities.py:test_lm_studio_http_satisfies_openai_capability_without_product_aliasing:56,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G020,2,test-suite/src/x86decomp_testkit/self_tests/test_adapter_capabilities.py:test_non_loopback_http_endpoint_requires_network_opt_in:72; test-suite/tests/test_adapter_capabilities.py:test_non_loopback_http_endpoint_requires_network_opt_in:90,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G021,2,test-suite/src/x86decomp_testkit/self_tests/test_adapter_capabilities.py:test_loopback_host_classifier_is_strict:80; test-suite/tests/test_adapter_capabilities.py:test_loopback_host_classifier_is_strict:101,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G022,2,test-suite/src/x86decomp_testkit/self_tests/test_adapter_capabilities.py:_ModelsHandler.do_GET:18; test-suite/tests/test_adapter_capabilities.py:_ModelsHandler.do_GET:24,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G023,2,test-suite/src/x86decomp_testkit/self_tests/test_adapter_detection_resolution.py:_config:15; test-suite/tests/test_adapter_detection_resolution.py:_config:18,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G024,2,test-suite/src/x86decomp_testkit/self_tests/test_adapter_detection_resolution.py:test_missing_noninteractive_is_explicit_unresolved:60; test-suite/tests/test_adapter_detection_resolution.py:test_missing_noninteractive_is_explicit_unresolved:78,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G025,2,test-suite/src/x86decomp_testkit/self_tests/test_adapter_detection_resolution.py:test_environment_and_configured_root_detection:69; test-suite/tests/test_adapter_detection_resolution.py:test_environment_and_configured_root_detection:90,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G026,2,test-suite/src/x86decomp_testkit/self_tests/test_adapter_detection_resolution.py:test_path_detection_preserves_symlink_argv0:87; test-suite/tests/test_adapter_detection_resolution.py:test_path_detection_preserves_symlink_argv0:111,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G027,2,test-suite/src/x86decomp_testkit/self_tests/test_adapter_detection_resolution.py:test_missing_python_adapter_accepts_custom_interpreter:105; test-suite/tests/test_adapter_detection_resolution.py:test_missing_python_adapter_accepts_custom_interpreter:132,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G028,2,test-suite/src/x86decomp_testkit/self_tests/test_adapter_detection_resolution.py:test_installed_adapter_never_prompts.prompt:28; test-suite/tests/test_adapter_detection_resolution.py:test_installed_adapter_never_prompts.prompt:37,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G029,2,test-suite/src/x86decomp_testkit/self_tests/test_adapter_detection_resolution.py:test_missing_adapter_prompts_custom_path_then_accepts.prompt:48; test-suite/tests/test_adapter_detection_resolution.py:test_missing_adapter_prompts_custom_path_then_accepts.prompt:63,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G030,2,test-suite/src/x86decomp_testkit/self_tests/test_archive_security.py:test_safe_zip_and_tar_extraction:14; test-suite/tests/test_archive_security.py:test_safe_zip_and_tar_extraction:17,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G031,2,test-suite/src/x86decomp_testkit/self_tests/test_archive_security.py:test_rejects_traversal_and_links:34; test-suite/tests/test_archive_security.py:test_rejects_traversal_and_links:40,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G032,2,test-suite/src/x86decomp_testkit/self_tests/test_archive_security.py:test_release_asset_selection_is_deterministic:52; test-suite/tests/test_archive_security.py:test_release_asset_selection_is_deterministic:61,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G033,2,test-suite/src/x86decomp_testkit/self_tests/test_archive_security.py:test_download_file_hash_and_size_limit:62; test-suite/tests/test_archive_security.py:test_download_file_hash_and_size_limit:74,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G034,2,test-suite/src/x86decomp_testkit/self_tests/test_cli_and_installation.py:test_cli_init_config_catalog_and_missing_config:15; test-suite/tests/test_cli_and_installation.py:test_cli_init_config_catalog_and_missing_config:18,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G035,2,test-suite/src/x86decomp_testkit/self_tests/test_cli_and_installation.py:test_install_python_command_and_failure.run_ok:31; test-suite/tests/test_cli_and_installation.py:test_install_python_command_and_failure.run_ok:40,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G036,2,test-suite/src/x86decomp_testkit/self_tests/test_cli_and_installation.py:test_install_python_command_and_failure.run_bad:40; test-suite/tests/test_cli_and_installation.py:test_install_python_command_and_failure.run_bad:52,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G037,2,test-suite/src/x86decomp_testkit/self_tests/test_config_models.py:test_config_roundtrip_and_relative_resolution:11; test-suite/tests/test_config_models.py:test_config_roundtrip_and_relative_resolution:14,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G038,2,test-suite/src/x86decomp_testkit/self_tests/test_config_models.py:test_status_counts_and_strict_exit_code.result:40; test-suite/tests/test_config_models.py:test_status_counts_and_strict_exit_code.result:49,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G039,2,test-suite/src/x86decomp_testkit/self_tests/test_inventory_reports_process.py:_mini_toolkit:16; test-suite/tests/test_inventory_reports_process.py:_mini_toolkit:19,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G040,2,test-suite/src/x86decomp_testkit/self_tests/test_inventory_reports_process.py:test_inventory_catalog_and_public_coverage:32; test-suite/tests/test_inventory_reports_process.py:test_inventory_catalog_and_public_coverage:38,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G041,2,test-suite/src/x86decomp_testkit/self_tests/test_inventory_reports_process.py:test_junit_process_logging_and_reports:54; test-suite/tests/test_inventory_reports_process.py:test_junit_process_logging_and_reports:63,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G042,2,test-suite/src/x86decomp_testkit/self_tests/test_inventory_reports_process.py:test_suite_schemas_and_catalog_are_valid:84; test-suite/tests/test_inventory_reports_process.py:test_suite_schemas_and_catalog_are_valid:96,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G043,2,test-suite/src/x86decomp_testkit/self_tests/test_inventory_reports_process.py:test_recursive_inventory_includes_capability_packages_and_nested_schemas:103; test-suite/tests/test_inventory_reports_process.py:test_recursive_inventory_includes_capability_packages_and_nested_schemas:118,Behaviorally duplicated packaged/source tests; tracked by TEST-001.,Prefer generation or a normalized synchronization gate.,"Medium drift risk, low immediate runtime risk."
DUP-G044,2,tests/assembly/test_annotation_materialize.py:_capstone_available:21; tests/assembly/test_pipeline_cli_schemas.py:_capstone_available:24,Small structural duplicate; likely conventional wrapper or initializer.,Consolidate only if dependency direction and error semantics remain clear.,Low; abstraction may cost more than duplication.
DUP-G045,2,tests/assembly/test_pipeline_cli_schemas.py:_leaf_commands:29; tests/native/test_cli_schemas.py:_leaf_commands:14,Substantive normalized duplicate requiring contextual comparison.,Manual comparison required before consolidation.,Medium regression risk if consolidated mechanically.
DUP-G046,2,tests/assembly/test_pipeline_cli_schemas.py:_leaf_commands.walk:32; tests/native/test_cli_schemas.py:_leaf_commands.walk:17,Substantive normalized duplicate requiring contextual comparison.,Manual comparison required before consolidation.,Medium regression risk if consolidated mechanically.
